stock_code,year,close_yearend,close_m01,close_m02,close_m03,close_m04,close_m05,close_m06,close_m07,close_m08,close_m09,close_m10,close_m11,close_m12,shares,market_cap,momentum_12m,volatility_annual
590,2021,64100.0,57100.0,58000.0,64300.0,74900.0,74600.0,71600.0,66800.0,64600.0,65400.0,64900.0,57500.0,64100.0,1154482.0,74002296200.0,0.1225919439579685,0.2914024674039582
640,2021,108498.0,106139.0,109441.0,101894.0,116517.0,117932.0,114630.0,118404.0,108498.0,109913.0,99535.0,104252.0,108498.0,6732527.0,730465714446.0,0.0222255721271162,0.2403319430209202
660,2021,131000.0,122500.0,141500.0,132500.0,128000.0,127000.0,127500.0,112500.0,106500.0,103000.0,103000.0,114000.0,131000.0,712702365.0,93364009815000.0,0.0693877551020407,0.3093039169941309
670,2021,61721.0,48622.0,58423.0,54842.0,63982.0,66055.0,60967.0,64548.0,67280.0,62851.0,64641.0,59553.0,61721.0,18410683.0,1136325765443.0,0.2694047961827979,0.3281533615531201
680,2021,3010.0,2550.0,2735.0,2820.0,2845.0,3790.0,5440.0,4120.0,3900.0,3645.0,3225.0,2655.0,3010.0,78803016.0,237197078160.0,0.1803921568627451,0.7122663881886552
700,2021,6300.0,5230.0,5730.0,6400.0,8380.0,8250.0,7140.0,6440.0,6200.0,5850.0,5970.0,5760.0,6300.0,26041812.0,164063415600.0,0.2045889101338431,0.4318277480937927
720,2021,44450.0,39162.0,38724.0,42859.0,49038.0,55849.0,56724.0,53222.0,54000.0,51400.0,50300.0,44200.0,44450.0,111355765.0,4949763754250.0,0.135028854501813,0.2918952051683692
760,2021,15550.0,17000.0,16250.0,23450.0,20400.0,20650.0,21200.0,20150.0,19000.0,16950.0,16600.0,14900.0,15550.0,2800000.0,43540000000.0,-0.0852941176470588,0.5435339918859138
810,2021,202000.0,168000.0,173000.0,190000.0,198000.0,211500.0,220500.0,214500.0,226000.0,235000.0,231000.0,202000.0,202000.0,44647473.0,9018789546000.0,0.2023809523809523,0.2084868879502035
850,2021,34250.0,31500.0,31150.0,34650.0,38900.0,37550.0,39600.0,37050.0,38500.0,37300.0,36600.0,32900.0,34250.0,2200000.0,75350000000.0,0.0873015873015872,0.2444873514721419
860,2021,12480.0,10329.0,11204.0,15181.0,14806.0,14205.0,15081.0,15831.0,13455.0,13180.0,12505.0,10404.0,12480.0,13000000.0,162240000000.0,0.2082486203891955,0.5223526964459905
880,2021,31400.0,32150.0,29350.0,31850.0,30800.0,31400.0,31750.0,29850.0,34800.0,34250.0,33500.0,29850.0,31400.0,70507919.0,2213948656600.0,-0.0233281493001554,0.2745261324120641
890,2021,4525.0,4560.0,4615.0,5650.0,5700.0,5850.0,6100.0,5675.0,5150.0,4995.0,4940.0,4245.0,4525.0,27624025.0,124998713125.0,-0.0076754385964912,0.3313668255203045
910,2021,7540.0,5600.0,8410.0,8780.0,8500.0,8160.0,8110.0,7730.0,6700.0,6390.0,6950.0,6200.0,7540.0,15611619.0,117711607260.0,0.3464285714285715,0.6265402586562218
950,2021,40200.0,32550.0,32100.0,39050.0,39500.0,40000.0,39950.0,40200.0,39450.0,41600.0,41900.0,36600.0,40200.0,1680000.0,67536000000.0,0.2350230414746543,0.2917049516467822
970,2021,9100.0,8290.0,8630.0,9260.0,10400.0,9820.0,9990.0,10200.0,10200.0,10150.0,9820.0,8310.0,9100.0,22800500.0,207484550000.0,0.0977080820265379,0.2647130467155442
990,2021,72700.0,61500.0,56400.0,56300.0,55300.0,51600.0,62400.0,61000.0,59800.0,54600.0,57500.0,67000.0,72700.0,43504588.0,3162783547600.0,0.1821138211382114,0.3413731146567529
1020,2021,8025.0,12350.0,12125.0,11425.0,11625.0,11200.0,12125.0,10950.0,10225.0,11600.0,8750.0,6950.0,8025.0,35596662.0,285663212550.0,-0.3502024291497976,0.4384804171415643
1040,2021,83400.0,94100.0,92700.0,94000.0,95500.0,114500.0,107000.0,98000.0,101500.0,98800.0,95800.0,80000.0,83400.0,29176998.0,2433361633200.0,-0.1137088204038256,0.3155220296968922
1060,2021,21719.0,28517.0,26989.0,27452.0,26989.0,26851.0,27730.0,26757.0,25137.0,23472.0,21620.0,19629.0,21719.0,23285930.0,505747113670.0,-0.2383841217519374,0.2022848870451327
1070,2021,49400.0,39600.0,39600.0,40950.0,44100.0,43550.0,44300.0,44000.0,43400.0,43450.0,46200.0,45950.0,49400.0,5300000.0,261820000000.0,0.2474747474747474,0.1232071198564708
1120,2021,26450.0,26400.0,27300.0,31900.0,30800.0,31000.0,31200.0,30900.0,27750.0,34600.0,27150.0,23150.0,26450.0,38760000.0,1025202000000.0,0.0018939393939394,0.4772301299394533
1130,2021,15450.0,14150.0,14200.0,14750.0,16000.0,18150.0,18050.0,17550.0,16500.0,16250.0,16400.0,14500.0,15450.0,16900000.0,261105000000.0,0.0918727915194346,0.2400388341317977
1200,2021,3595.0,3800.0,3755.0,4040.0,4655.0,4855.0,4570.0,4010.0,3995.0,3835.0,3800.0,3420.0,3595.0,96866418.0,348234772710.0,-0.0539473684210526,0.2763695019910995
1210,2021,3540.0,2750.0,2610.0,2630.0,2840.0,2960.0,3260.0,2755.0,3425.0,3640.0,3880.0,2960.0,3540.0,61880083.0,219055493820.0,0.2872727272727273,0.4844856909668156
1230,2021,13528.0,6594.0,7649.0,11614.0,20378.0,19485.0,18889.0,18081.0,17272.0,15613.0,14507.0,12082.0,13528.0,155507715.0,2103708368520.0,1.0515620260843193,0.9952454950532672
1250,2021,2370.0,2445.0,2195.0,2500.0,2835.0,2825.0,3040.0,2710.0,2835.0,2575.0,2575.0,2100.0,2370.0,82533764.0,195605020680.0,-0.0306748466257669,0.3893119728788605
1260,2021,13900.0,13600.0,13400.0,13900.0,15050.0,16400.0,16700.0,16350.0,15200.0,15150.0,15200.0,11300.0,13900.0,9832572.0,136672750800.0,0.0220588235294116,0.4101499113908057
1270,2021,24450.0,20750.0,21850.0,22750.0,25300.0,25000.0,25500.0,24500.0,24600.0,24850.0,24650.0,24150.0,24450.0,10369886.0,253543712700.0,0.1783132530120481,0.1435048114973198
1290,2021,1165.0,1120.0,1100.0,1200.0,1315.0,1305.0,1390.0,1255.0,1295.0,1220.0,1250.0,1050.0,1165.0,108337120.0,126212744800.0,0.0401785714285714,0.2970382493313654
1340,2021,6021.0,4650.0,4194.0,5315.0,5939.0,6686.0,7783.0,8168.0,6394.0,7899.0,6557.0,6102.0,6021.0,44973248.0,270783926208.0,0.2948387096774194,0.5612699954447182
1380,2021,3666.0,4948.0,4888.0,6411.0,7774.0,7734.0,7433.0,6211.0,5389.0,4668.0,4357.0,3185.0,3666.0,22482071.0,82419272286.0,-0.2590945836701698,0.60403457249461
1390,2021,6150.0,4360.0,5690.0,5400.0,5630.0,5990.0,7820.0,7690.0,6840.0,6900.0,6790.0,5810.0,6150.0,67233030.0,413483134500.0,0.4105504587155963,0.5066215304373529
1430,2021,19900.0,12250.0,14700.0,18550.0,26150.0,30800.0,31700.0,31400.0,29250.0,25900.0,21650.0,18250.0,19900.0,35862119.0,713656168100.0,0.6244897959183673,0.6457798573072787
1440,2021,15388.0,9547.0,8475.0,10019.0,9892.0,17586.0,26534.0,22428.0,21565.0,20702.0,19494.0,15561.0,15388.0,195992596.0,3015934067248.0,0.6118152299151567,1.049020495591162
1450,2021,22950.0,19900.0,21900.0,24500.0,24350.0,24400.0,25500.0,25950.0,25600.0,25450.0,26250.0,23000.0,22950.0,85248250.0,1956447337500.0,0.1532663316582914,0.2209276580384634
1460,2021,45050.0,28700.0,36950.0,34550.0,36200.0,43350.0,42150.0,39600.0,41200.0,44450.0,43600.0,41900.0,45050.0,6246150.0,281389057500.0,0.5696864111498259,0.3853749368418243
1470,2021,2325.0,3605.0,3720.0,3180.0,2770.0,2850.0,3145.0,3460.0,2980.0,2270.0,2080.0,1990.0,2325.0,229681824.0,534010240800.0,-0.3550624133148404,0.4418380628756678
1500,2021,11044.0,11134.0,10239.0,11670.0,12654.0,12609.0,12430.0,11402.0,11313.0,11313.0,11313.0,10776.0,11044.0,61833044.0,682884137936.0,-0.0080833483024969,0.2273562426597739
1510,2021,2002.0,1683.0,1657.0,1765.0,2052.0,2002.0,2052.0,1948.0,1843.0,1777.0,1964.0,1837.0,2002.0,231295085.0,463052760170.0,0.1895424836601307,0.2649093091943891
1520,2021,1465.0,1200.0,1245.0,1385.0,1390.0,1410.0,2230.0,2025.0,1745.0,1585.0,1670.0,1340.0,1465.0,238684063.0,349672152295.0,0.2208333333333334,0.7151254816218918
1530,2021,24389.0,17125.0,14270.0,14833.0,15741.0,15481.0,16996.0,26164.0,31440.0,27418.0,24823.0,24305.0,24389.0,20715621.0,505233280569.0,0.4241751824817519,0.6718168418557854
1540,2021,10700.0,13750.0,13000.0,13250.0,13000.0,13500.0,14550.0,13000.0,12300.0,11050.0,10350.0,9010.0,10700.0,13042420.0,139553894000.0,-0.2218181818181818,0.3248418869692177
1560,2021,8720.0,7010.0,7260.0,7820.0,8480.0,8420.0,8650.0,8220.0,8400.0,8540.0,8890.0,8450.0,8720.0,7600000.0,66272000000.0,0.2439372325249642,0.1498874278680617
1570,2021,4905.0,6100.0,4700.0,4300.0,5040.0,5080.0,5720.0,5070.0,5660.0,5300.0,5050.0,4645.0,4905.0,63967196.0,313759096380.0,-0.1959016393442623,0.4185044233922022
1620,2021,4050.0,4230.0,4240.0,4685.0,4275.0,4380.0,7350.0,6550.0,6400.0,5925.0,5075.0,3810.0,4050.0,22258606.0,90147354300.0,-0.0425531914893616,0.8346018942888002
1630,2021,76500.0,108500.0,103500.0,103500.0,108000.0,109500.0,107500.0,100500.0,92000.0,85300.0,81900.0,68300.0,76500.0,5009861.0,383254366500.0,-0.2949308755760369,0.2587062888888929
